id|English|Español
ERROR_PCLOUD_SAVE|Error while saving point cloud|Ha ocurrido un error al guardar la nube de puntos
FILEDIALOG_DRIVES|Drives|Unidades
FILEDIALOG_SEARCH|Search:|Buscar:
FILEDIALOG_FILENAME|File name|Nombre del fichero
FILEDIALOG_DIRPATH|Directory path|Ruta del directorio
FILEDIALOG_RESETSEARCH|Reset search|Reiniciar búsqueda
FILEDIALOG_EDITPATH|Edit path\nYou can also right click on path buttons|Editar ruta\nTambién es posible utilizar clic secundario sobre los botones de la ruta
FILEDIALOG_RESETPATH|Reset to current directory|Establecer directorio actual
FILEDIALOG_CREATEDIR|Create directory|Crear directorio
FILEDIALOG_TYPE|Type|Tipo
FILEDIALOG_SIZE|Size|Tamaño
FILEDIALOG_DATE|Date|Fecha
FILEDIALOG_OVERWRITE_INFO|The file already exists!|El fichero ya existe
FILEDIALOG_OVERWRITE_QUESTION|Would you like to overwrite it?|¿Desea sobreescribir el fichero?
FILEDIALOG_MANYSELECTED|files selected|ficheros seleccionados
FILEDIALOG_OPEN_ERRORCLOUD|Error while opening point cloud file|Error al abrir fichero de nube de puntos
GENERIC_AABB|AABB|AABB
GENERIC_ALPHA|Alpha|Alpha
GENERIC_APPLY|Apply|Aplicar
GENERIC_ATTRIBUTE|Attribute|Atributo
GENERIC_AUTOMATIC|Automatic|Automático
GENERIC_CANCEL|Cancel|Cancelar
GENERIC_CLEAR|Clear|Limpiar
GENERIC_CLOSE|Close|Cerrar
GENERIC_COLOR|Color|Color
GENERIC_CONFIRM|Confirm|Confirmar
GENERIC_CONNECT|Connect|Conectar
GENERIC_CONECTION|Conection|Conexión
GENERIC_DATABASE|Database|Base de datos
GENERIC_DATE_DAY|Day|Día
GENERIC_DATE_DAY1|Monday|Lunes
GENERIC_DATE_DAY2|Tuesday|Martes
GENERIC_DATE_DAY3|Wednesday|Miércoles
GENERIC_DATE_DAY4|Thursday|Jueves
GENERIC_DATE_DAY5|Friday|Viernes
GENERIC_DATE_DAY6|Saturday|Sábado
GENERIC_DATE_DAY7|Sunday|Domingo
GENERIC_DATE_DAY1_LETTER|M|L
GENERIC_DATE_DAY2_LETTER|T|M
GENERIC_DATE_DAY3_LETTER|W|X
GENERIC_DATE_DAY4_LETTER|T|J
GENERIC_DATE_DAY5_LETTER|F|V
GENERIC_DATE_DAY6_LETTER|S|S
GENERIC_DATE_DAY7_LETTER|S|D
GENERIC_DATE_MONTH|Month|Mes
GENERIC_DATE_MONTH01|January|Enero
GENERIC_DATE_MONTH02|February|Febrero
GENERIC_DATE_MONTH03|March|Marzo
GENERIC_DATE_MONTH04|April|Abril
GENERIC_DATE_MONTH05|May|Mayo
GENERIC_DATE_MONTH06|June|Junio
GENERIC_DATE_MONTH07|July|Julio
GENERIC_DATE_MONTH08|August|Agosto
GENERIC_DATE_MONTH09|September|Septiembre
GENERIC_DATE_MONTH10|October|Octubre
GENERIC_DATE_MONTH11|November|Noviembre
GENERIC_DATE_MONTH12|December|Diciembre
GENERIC_DELETE|Delete|Eliminar
GENERIC_DIRECTORY|Directory|Directorio
GENERIC_DISCONNECT|Disconnect|Desconectar
GENERIC_DOWNLOAD|Download|Descargar
GENERIC_EMAIL|Email|Correo electrónico
GENERIC_ERROR|Error|Error
GENERIC_ERROR_INFO|An error ocurred.|Se ha producido un error.
GENERIC_EXPORT|Export|Exportar
GENERIC_GEOLOCATION|Geolocation|Geolocalización
GENERIC_HELP|Help|Ayuda
GENERIC_ID|ID|ID
GENERIC_IDENTIFIER|Identifier|Identificador
GENERIC_IMPORT|Import|Importar
GENERIC_IN_PROGRESS_DOWNLOAD_NAS|Downloading file from NAS...|Descargando fichero desde el NAS...
GENERIC_IN_PROGRESS_INSERT_DATABASE|Inserting data into database...|Insertando dato en la base de datos...
GENERIC_IN_PROGRESS_UPLOAD_NAS|Uploading file to NAS...|Subiendo fichero al NAS...
GENERIC_INFO|Info|Información
GENERIC_INSERT|Insert|Insertar
GENERIC_INTENSITY|Intensity|Intensidad
GENERIC_IP|IP|IP
GENERIC_ITEM|Item(s)|Elemento(s)
GENERIC_LOADING|Loading|Cargando
GENERIC_LOGIN|Log in|Iniciar sesión
GENERIC_LOGOUT|Log out|Cerrar sesión
GENERIC_MANUAL|Manual|Manual
GENERIC_MESHLET|Meshlet(s)|Meshlet(s)
GENERIC_MESHLET_SIZE|Meshlet size|Tamaño de los meshlets
GENERIC_NAME|Name|Nombre
GENERIC_NAS|NAS|NAS
GENERIC_NEW|New|Nuevo
GENERIC_NO|No|No
GENERIC_NODATA|No data|No hay datos
GENERIC_NONE|None|Ninguno
GENERIC_NOSELECTION|No selection|No hay selección
GENERIC_OFFSET|Offset|Offset
GENERIC_OPEN|Open|Abrir
GENERIC_OPTIONAL|Optional|Opcional
GENERIC_PASSWORD|Password|Contraseña
GENERIC_PAUSED|Paused|Pausado
GENERIC_POINT|Point(s)|Punto(s)
GENERIC_PREVIEW|Preview|Previsualizar
GENERIC_REFRESH|Refresh|Refrescar
GENERIC_RESET|Reset|Reiniciar
GENERIC_SEGMENT|Segment|Segmento
GENERIC_SELECT|Select|Seleccionar
GENERIC_SUCCESS|Success|Éxito
GENERIC_UPLOAD|Upload|Subir
GENERIC_USERMANUAL|User manual|Manual de usuario
GENERIC_USERNAME|Username|Usuario
GENERIC_WARNING|Warning|Aviso
GENERIC_YES|Yes|Sí
HIPER_CUBENAME|Current hypercube:|Hipercubo activo:
HIPER_NOHYPERCUBE|No hypercube loaded|No se ha cargado ningún hipercubo
HIPER_LOADCUBE|Load hypercube|Cargar hipercubo
HIPER_PIXEL|Pixel|Píxel
HIPER_PIXELPREVIEW|Current pixel:|Píxel seleccionado:
HIPER_PREVIEW|Preview bands|Previsualizar bandas
HIPER_PROGRESS_INPUTCUBE|Reading hypercube|Leyendo hipercubo
HIPER_PROGRESS_FLUSHDATA|Flushing hypercube cache|Limpiando caché del hipercubo
HIPER_PROGRESS_FUSINGDATA|Fusing data|Fusionando datos
HIPER_PROGRESS_DONE|Done! ({} seconds)|¡Hecho! ({} segundos)
HIPER_STATS_HISTOGRAM|Histogram|Histograma
